band5,band6,band7,band8,class
98,86,74,58,cloud
110,98,86,68,cloud
121,107,92,74,cloud
126,112,97,81,cloud
133,121,107,89,cloud
143,130,118,96,cloud
150,137,124,101,cloud
151,135,122,103,cloud
147,130,116,98,cloud
138,122,105,86,cloud
128,114,97,80,cloud
122,108,95,78,cloud
120,108,96,78,cloud
120,108,96,78,cloud
117,102,92,77,cloud
101,90,77,60,cloud
103,89,78,59,cloud
99,86,74,59,cloud
101,88,74,61,cloud
110,97,82,67,cloud
122,109,94,77,cloud
130,120,107,91,cloud
146,134,121,103,cloud
157,141,129,110,cloud
164,148,132,113,cloud
169,152,133,114,cloud
168,151,134,111,cloud
155,142,127,103,cloud
139,127,116,92,cloud
133,120,112,90,cloud
134,120,109,90,cloud
133,118,101,83,cloud
131,117,99,81,cloud
127,116,101,81,cloud
124,112,100,80,cloud
118,104,93,74,cloud
94,84,72,55,cloud
98,87,77,60,cloud
107,95,84,66,cloud
109,94,82,67,cloud
107,94,81,67,cloud
106,94,82,67,cloud
108,99,87,73,cloud
126,115,103,87,cloud
144,132,120,102,cloud
162,147,133,117,cloud
174,158,144,125,cloud
182,166,150,127,cloud
183,169,151,125,cloud
180,165,148,121,cloud
175,159,147,120,cloud
162,144,130,108,cloud
150,134,117,101,cloud
152,135,119,101,cloud
148,132,118,99,cloud
140,130,118,99,cloud
140,130,120,100,cloud
142,126,118,100,cloud
138,121,110,92,cloud
121,107,92,76,cloud
103,90,71,55,cloud
112,98,91,76,cloud
113,99,88,76,cloud
119,106,92,77,cloud
121,106,91,75,cloud
121,109,93,76,cloud
122,111,99,79,cloud
123,113,106,88,cloud
140,128,118,103,cloud
164,147,132,115,cloud
179,163,146,125,cloud
196,180,160,134,cloud
200,186,167,139,cloud
198,183,166,136,cloud
191,171,155,130,cloud
190,173,154,132,cloud
186,166,148,127,cloud
169,154,137,116,cloud
166,153,138,114,cloud
164,154,143,116,cloud
164,151,142,116,cloud
167,153,141,116,cloud
166,151,137,113,cloud
161,146,130,104,cloud
143,131,116,90,cloud
113,104,92,72,cloud
101,89,83,65,cloud
89,75,69,53,cloud
74,60,50,37,cloud
147,130,120,99,cloud
145,127,116,100,cloud
140,125,111,97,cloud
141,128,112,93,cloud
138,127,113,94,cloud
135,125,116,98,cloud
143,130,122,103,cloud
152,138,127,110,cloud
167,154,140,122,cloud
185,170,153,130,cloud
36,23,11,23,free
37,23,12,23,free
35,23,12,21,free
36,22,11,22,free
36,22,12,21,free
35,22,12,22,free
36,22,11,22,free
35,22,11,22,free
35,22,11,22,free
35,22,11,22,free
35,22,11,22,free
37,22,12,21,free
36,23,12,21,free
36,23,12,22,free
36,23,12,22,free
36,23,12,22,free
36,24,13,24,free
39,26,14,26,free
37,23,12,23,free
37,23,12,23,free
36,23,12,23,free
35,22,12,22,free
36,22,12,21,free
36,22,12,22,free
36,23,12,23,free
36,22,11,22,free
35,22,10,21,free
36,22,11,21,free
36,22,11,22,free
36,23,12,21,free
35,22,11,21,free
35,22,10,22,free
35,23,11,22,free
36,23,11,22,free
37,22,12,21,free
35,22,12,21,free
36,22,12,22,free
37,23,12,22,free
36,23,12,23,free
42,29,17,28,free
36,23,12,23,free
37,23,11,22,free
37,22,12,22,free
36,22,12,21,free
36,22,12,22,free
35,22,12,22,free
36,23,12,22,free
35,23,12,23,free
35,22,11,21,free
36,22,11,21,free
36,23,11,22,free
36,22,12,21,free
36,22,12,20,free
35,22,12,21,free
36,23,12,23,free
35,22,11,22,free
36,22,12,21,free
35,22,11,21,free
36,23,11,22,free
37,23,11,23,free
37,22,12,22,free
40,26,14,26,free
42,28,16,26,free
37,22,12,22,free
36,23,12,23,free
36,23,11,23,free
38,23,11,22,free
37,22,12,22,free
37,23,12,22,free
35,22,11,22,free
36,22,11,22,free
35,22,11,21,free
37,22,12,21,free
35,23,12,22,free
36,21,11,21,free
36,22,11,21,free
35,23,12,22,free
36,23,12,23,free
36,22,11,22,free
36,22,12,21,free
36,23,12,21,free
36,23,11,23,free
35,23,12,23,free
36,22,12,21,free
37,22,13,22,free
38,24,13,23,free
38,24,13,24,free
40,27,15,27,free
103,89,71,82,free
97,81,62,76,free
37,23,12,23,free
37,23,12,23,free
37,23,11,22,free
36,22,11,22,free
36,22,12,22,free
36,23,12,22,free
35,22,11,22,free
36,22,11,22,free
36,23,12,23,free
35,23,12,22,free
